_id,zip_cd,single_dose_administered,all_doses_administered,fully_vaccinated,booster_dose_administered,eligible_population
755,47968,29,1062,406,208,971
756,47969,Suppressed,Suppressed,Suppressed,Suppressed,95
757,47970,56,2466,946,468,1726
758,47971,50,2562,978,509,1873
759,47974,38,863,355,137,1131
760,47975,26,1023,374,220,611
761,47977,79,2547,981,488,2220
762,47978,561,12406,4850,2456,10712
763,47980,33,1304,500,246,955
764,47981,24,1074,408,208,1052
765,47982,Suppressed,94,38,11,160
766,47983,7,394,152,73,280
767,47987,114,3414,1351,635,3806
768,47989,38,1118,431,219,1288
769,47990,33,1803,697,342,1837
770,47991,25,1076,409,207,893
771,47992,42,2097,770,438,1327
772,47993,144,4373,1689,853,3502
773,47994,20,525,209,95,296
774,47995,54,1859,732,350,1516
775,47997,Suppressed,93,36,19,122
