_id,zip_cd,single_dose_administered,all_doses_administered,fully_vaccinated,booster_dose_administered,eligible_population
167,46366,127,6088,2290,1228,5322
168,46368,1611,57459,22028,11196,36507
169,46371,135,5053,1922,1020,2969
170,46373,665,29740,11003,6113,15423
171,46374,27,1164,445,240,745
172,46375,889,42961,15673,9053,22521
173,46376,6,360,142,53,223
174,46377,13,397,153,72,318
175,46379,Suppressed,Suppressed,Suppressed,Suppressed,81
176,46381,Suppressed,233,89,41,176
177,46382,75,2846,1109,543,1684
178,46383,2233,67721,25207,14403,39913
179,46385,1963,69055,25777,14693,37378
180,46390,136,3924,1518,795,3126
181,46391,282,11888,4564,2299,9382
182,46392,314,8756,3455,1655,7294
183,46393,11,423,167,77,285
184,46394,417,17314,6539,3319,11821
185,46402,169,5278,2011,935,5876
186,46403,412,14531,5358,2950,12468
187,46404,414,17357,6439,3356,16333
188,46405,426,13278,5268,2310,10200
189,46406,277,8599,3341,1559,8444
190,46407,239,9900,3795,1767,10022
191,46408,564,15883,6210,2892,14552
192,46409,176,6765,2632,1183,6818
193,46410,1192,54905,21100,10212,36044
194,46501,142,3676,1415,757,3387
195,46502,Suppressed,Suppressed,Suppressed,Suppressed,58
196,46504,121,3086,1205,613,3449
197,46506,393,10608,4159,2024,8916
198,46507,403,10419,4037,2002,8839
199,46508,5,140,57,26,107
200,46510,125,2839,1134,532,3688
201,46511,200,6814,2518,1267,4096
202,46514,1694,53656,20880,9837,38493
203,46516,1444,38938,15559,6524,28720
204,46517,1065,28592,11408,4909,24333
205,46524,40,1208,477,232,1954
206,46526,862,47520,17576,9344,30886
207,46528,672,28668,11016,5428,25027
208,46530,1596,62714,22752,14023,29661
209,46531,29,1325,508,249,1560
210,46532,52,1948,759,372,1469
211,46534,392,11926,4625,2309,10977
212,46536,130,3837,1478,775,2960
213,46537,25,519,208,92,418
214,46538,186,5140,2006,978,3872
215,46539,81,1899,768,343,2579
216,46540,301,9183,3570,1798,10905
217,46542,88,3936,1531,725,3732
218,46543,59,1611,628,321,3146
219,46544,1425,44446,16794,9044,29456
220,46545,1103,39290,14734,7989,23483
221,46550,309,8123,3197,1556,11683
222,46552,284,9583,3600,1984,6612
223,46553,91,2963,1177,531,2965
224,46554,155,5474,2090,1097,4587
225,46555,93,3158,1216,598,2344
226,46556,251,14646,5659,2309,7272
227,46561,658,19134,7442,3785,12735
228,46562,192,4666,1877,841,4789
229,46563,837,29955,11257,5929,22265
230,46565,69,2869,1131,506,7630
231,46567,321,10492,4035,2033,8610
232,46570,36,938,369,173,815
233,46571,31,1688,653,301,5046
234,46573,208,3662,1426,743,3472
235,46574,240,9189,3471,1834,9020
236,46580,1040,26732,10542,5046,20762
237,46582,627,16605,6568,3133,12361
238,46590,212,5679,2189,1163,4799
239,46595,Suppressed,86,31,20,122
240,46601,489,7560,2983,1406,5348
241,46613,425,12090,4751,2092,10606
242,46614,1265,48395,17838,10370,28762
243,46615,649,21509,7953,4532,12892
244,46616,273,9056,3337,1929,4985
245,46617,610,20280,7401,4307,9139
246,46619,700,28617,11057,5222,20138
247,46628,945,37759,14092,7640,24377
248,46635,291,11368,4069,2518,5963
249,46637,859,28853,10732,5887,15288
250,46701,241,8474,3245,1676,7605
251,46702,120,2374,963,437,1988
252,46703,426,25084,9271,5117,17170
253,46704,Suppressed,Suppressed,Suppressed,Suppressed,38
254,46705,47,1672,661,305,1596
255,46706,576,26194,9992,5252,17878
256,46710,142,5303,2046,1038,4000
257,46711,244,6588,2524,1386,7691
258,46714,448,17254,6557,3403,14004
259,46721,126,4441,1754,794,4809
260,46723,185,9039,3449,1784,7487
261,46725,857,30336,11661,5971,21861
262,46730,42,1390,543,265,1015
263,46731,18,685,270,122,685
264,46732,77,2723,1060,485,2856
265,46733,542,23019,8733,4662,17560
266,46737,132,9631,3471,2011,7075
267,46738,217,8791,3410,1651,7868
268,46740,91,2406,925,491,3400
269,46741,73,2917,1127,577,4218
270,46742,99,4446,1636,933,3162
271,46743,48,2186,847,416,1998
272,46745,69,2581,981,556,1953
273,46746,72,3390,1375,535,4400
274,46747,64,2824,1066,552,2189
275,46748,163,10787,4139,2116,4764
276,46750,1498,32896,12964,6387,25075
277,46755,551,18412,7019,3656,14240
278,46759,15,466,179,97,499
279,46760,21,1360,524,255,1266
280,46761,229,8840,3392,1690,11053
281,46763,56,2091,804,420,1744
282,46764,53,1404,562,251,1297
283,46765,152,8047,3109,1558,5329
284,46766,13,464,189,79,737
285,46767,167,8473,3348,1382,7448
286,46770,132,3139,1238,633,2829
287,46771,Suppressed,Suppressed,Suppressed,Suppressed,72
288,46772,47,1607,634,297,2736
289,46773,82,4430,1703,851,3203
290,46774,428,22866,8695,4609,15779
291,46776,38,1778,654,362,1662
292,46777,175,7977,3033,1597,6134
293,46779,30,2233,836,443,1917
294,46781,32,847,329,173,674
295,46783,400,11024,4232,2287,6168
296,46784,83,2770,1042,552,2003
297,46785,35,1394,541,279,1596
298,46786,Suppressed,Suppressed,Suppressed,Suppressed,39
299,46787,140,3918,1517,784,3640
300,46788,83,3006,1175,582,3296
301,46791,29,985,387,197,748
302,46792,135,4660,1773,948,3584
303,46793,133,4683,1816,930,4362
304,46794,30,1379,524,277,1603
305,46795,157,6709,2482,1411,6215
306,46797,98,3801,1472,739,3522
307,46798,36,1815,687,370,1430
308,46799,12,485,189,88,206
309,46802,532,12853,5078,2293,9768
310,46803,269,9615,3877,1439,8687
311,46804,1036,51491,18924,10940,26816
312,46805,675,31388,11976,6076,20280
313,46806,700,28679,11574,4257,22607
314,46807,555,22491,8703,4205,16019
315,46808,608,25142,9771,4627,18419
316,46809,254,11274,4302,2180,8744
317,46814,693,31403,11709,6648,11797
318,46815,661,42312,15900,8477,26408
319,46816,678,25181,10043,4112,17518
320,46818,658,31748,12279,6067,19442
321,46819,260,12480,4749,2445,9011
322,46825,793,45872,17197,9221,27441
323,46835,932,56211,21045,11369,33150
324,46845,792,50762,18895,10641,21729
325,46901,1578,42036,16496,7976,37007
326,46902,1323,47121,17990,9345,33341
327,46910,162,3459,1364,684,3116
328,46911,29,1172,457,231,1299
329,46913,27,1481,570,280,1035
330,46914,62,4603,1705,966,1665
331,46915,18,812,311,158,646
332,46917,47,1756,686,322,1660
333,46919,46,2297,886,437,2274
334,46920,26,1175,441,238,1028
335,46922,Suppressed,Suppressed,Suppressed,Suppressed,18
336,46923,201,9390,3623,1775,7658
337,46926,27,1474,579,270,1233
338,46928,102,5292,2005,1025,4035
339,46929,88,3354,1305,632,2858
340,46930,6,209,80,38,113
341,46931,14,279,114,47,181
342,46932,112,3634,1409,708,2880
343,46933,141,6918,2697,1265,5639
344,46936,232,6717,2629,1314,5583
345,46938,81,2787,1108,498,2847
346,46939,65,2138,811,442,1673
347,46940,72,2770,1066,535,2526
348,46941,32,1135,438,229,905
349,46943,14,138,66,10,215
350,46946,Suppressed,Suppressed,Suppressed,Suppressed,34
351,46947,1481,34861,14050,6099,26100
352,46950,21,620,248,121,551
353,46951,64,1942,770,348,1790
354,46952,450,24775,9225,4903,17593
355,46953,449,21581,8236,4002,21989
356,46957,11,522,199,99,552
357,46958,15,496,189,96,442
358,46959,Suppressed,190,73,37,838
359,46960,32,1372,524,262,1033
360,46961,7,69,30,12,169
361,46962,381,11271,4169,2305,8490
362,46967,Suppressed,Suppressed,Suppressed,Suppressed,91
363,46968,Suppressed,128,52,20,114
364,46970,538,22727,8929,3977,22382
365,46974,65,1536,614,275,1999
366,46975,562,15325,5863,3083,13632
367,46978,64,2070,814,405,2035
368,46979,225,6098,2432,1127,4747
369,46982,104,2330,930,421,2478
370,46984,7,361,132,76,177
371,46985,21,1376,531,271,1374
372,46986,33,2072,797,402,1589
373,46987,26,1197,459,217,845
374,46988,18,694,282,118,901
375,46989,129,4782,1835,922,4746
376,46990,21,694,268,133,707
377,46991,44,1624,641,299,1537
378,46992,530,18832,7296,3542,15337
379,46994,100,2701,1046,545,2607
380,46996,166,8787,3332,1777,5913
381,46998,Suppressed,94,37,17,226
382,47001,439,12788,4864,2523,9656
383,47003,54,990,396,186,765
384,47006,321,18593,6915,3924,11049
385,47010,13,324,126,65,180
386,47011,51,832,331,167,757
387,47012,331,11752,4482,2312,8892
388,47016,23,1058,411,190,774
389,47017,31,643,249,131,481
390,47018,250,4865,1894,979,4160
391,47020,33,983,372,198,1237
392,47022,104,4053,1557,795,2921
393,47023,42,1597,609,317,1536
394,47024,90,2087,838,378,3369
395,47025,907,31485,12034,6122,21368
396,47030,30,1311,520,231,1954
397,47031,184,5758,2228,1142,5181
398,47032,117,3692,1436,699,2968
399,47034,6,183,72,35,127
